Customer Success Associate,Parent Restaurant name,Unique Location ID,Highest Product,# Printers,# Tablets,Orders Week 2,Orders Week 1,Printed Orders Week 2,Printed Orders Week 1,Cancellations Week 2,Cancellations Week 1,Missed Orders Week 2,Missed Orders Week 1,Average Order ValueMonth 2,Average Order Value Month 1,Last Product Usage Date,Payment Status,Activation Date,Number of online delivery partners
Jimmy ,Restaurant 747,06dc26c0-9998-4912-b026-dd0e3e8acdff,Order Manager,1,1,47,60,47,60,0,2,0,0,24.99,22.71,1/15/2022 10:50 AM,Active,9/28/2021,2
Jimmy ,Restaurant 432,36677987-7739-492d-a034-f94f22bae72f,Premium,0,0,37,46,0,0,2,2,0,0,36.19,29.57,1/15/2022 10:07 AM,,8/11/2020,3
Jimmy ,Restaurant 747,1955165c-d286-4d09-aed9-27c908c26503,Order Manager,1,1,63,66,62,66,1,1,0,0,29.43,29.72,1/15/2022 10:53 AM,Active,6/16/2021,2
Jimmy ,Restaurant 747,fc15619e-87c6-4326-8f20-e71b8bd55662,Order Manager,1,1,50,48,50,48,0,2,0,0,31.22,26.58,1/15/2022 10:09 AM,Active,6/16/2021,2
Jimmy ,Restaurant 719,ef394528-735d-4307-aebe-034aa5e4966c,Premium + POS,1,0,534,565,0,0,2,3,0,0,47.72,46.22,1/15/2022 10:59 AM,Active,3/22/2021,2
Jimmy ,Restaurant 719,d96840c4-9807-4f5f-a5d6-c811f18e13f1,Premium + POS,1,0,376,380,0,0,5,3,0,0,45.7,43.12,1/15/2022 10:44 AM,Active,3/22/2021,2
Jimmy ,Restaurant 719,3c37c996-2359-4c97-b88b-7b955b1e9f01,Premium + POS,1,0,638,450,0,0,4,1,0,0,48,47.91,1/15/2022 10:56 AM,Active,3/22/2021,2
Jimmy ,Restaurant 970,cb3cec69-b559-48b6-a84f-a413b793075f,Order Manager,1,1,115,131,115,131,0,1,0,0,31.17,30.1,1/15/2022 10:38 AM,Active,9/21/2020,2
Jimmy ,Restaurant 853,427d7212-329c-44a5-9375-7e1c8217a6aa,Premium,1,1,,,,,,,,,,,,Active,12/7/2020,
Jimmy ,Restaurant 432,e9f63de8-4eee-42d0-993d-1b92c5e7afb5,Premium,0,0,15,7,0,0,1,0,0,0,33.82,29.53,1/15/2022 10:02 AM,Active,6/21/2019,1
Jimmy ,Restaurant 432,cf851a36-3763-415c-ac2c-c153142a9db0,Premium,0,0,34,24,0,0,4,4,0,0,28.3,29.34,1/15/2022 10:51 AM,Active,5/28/2019,2
Jimmy ,Restaurant 432,f2de7c78-f988-46ff-8fae-81f54c027eb1,Premium,0,0,24,19,0,0,0,0,0,0,31.92,30.03,1/15/2022 7:32 AM,Active,6/11/2019,2
Jimmy ,Restaurant 432,5949ae67-1959-4245-b54d-bdf113d7c0bb,Premium,0,0,36,40,0,0,17,17,0,0,27.43,30.18,1/15/2022 10:26 AM,Active,6/6/2019,2
Jimmy ,Restaurant 432,4bf617fb-9787-40fc-8af8-9d7a2ee7a386,Premium,0,0,6,5,0,0,2,0,0,0,36.79,31.7,1/15/2022 5:19 AM,Active,6/26/2019,1
Jimmy ,Restaurant 432,55917f76-5824-4649-a72a-c10023d134b6,Premium,0,0,44,33,0,0,21,19,0,0,28.86,30.63,1/15/2022 10:42 AM,Active,6/5/2019,2
Jimmy ,Restaurant 432,64b384c3-8483-414f-975d-a3aacde2451f,Premium,0,0,53,60,0,0,2,1,0,1,37.01,34.95,1/15/2022 10:26 AM,Active,6/19/2019,2
Jimmy ,Restaurant 432,9c50a106-84ea-4c3a-96c6-7bf070f7e554,Premium,0,0,8,22,0,0,1,5,0,0,33.31,31.6,1/15/2022 9:36 AM,Active,6/19/2019,1
Jimmy ,Restaurant 432,e891526d-a8b1-4eb6-af9a-b95fbe37ca2c,Premium,0,0,29,12,0,0,4,1,0,0,33.38,29.47,1/15/2022 8:17 AM,Active,6/18/2019,1
Jimmy ,Restaurant 432,c8adcdd8-842c-45b1-b9fb-5c7570b234cf,Premium,0,0,7,19,0,0,3,6,0,0,36.02,27.88,1/15/2022 10:39 AM,Active,6/18/2019,1
Jimmy ,Restaurant 432,3faa14dc-b75f-49f2-8a2a-44d96b2d7e46,Premium,0,0,21,28,0,0,11,15,0,0,34.5,28.06,1/15/2022 4:47 AM,Active,5/30/2019,1
Jimmy ,Restaurant 432,eb9c64bb-d435-4e29-aae6-a113e4858450,Premium,0,0,29,27,0,0,1,0,0,0,30.49,25.82,1/15/2022 8:46 AM,Active,6/6/2019,2
Jimmy ,Restaurant 432,97a97806-b451-4eb6-a30c-60f815810823,Premium,0,0,26,31,0,0,1,2,0,0,33.94,30.13,1/15/2022 2:11 AM,Active,6/25/2019,2
Jimmy ,Restaurant 432,fc699339-08f3-4520-a5e0-ec5168909da7,Premium,0,0,48,42,0,0,1,0,0,0,29.04,28.29,1/15/2022 9:38 AM,Active,6/6/2019,2
